team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Argentina,1,4.0,3,0,0,0,1,1.8,0.45,-0.2,-0.05,6,26,23.1,79,18,30.4,31.0,15,13.3,25.7,34,4,11.8,1,0.25,11.9
Australia,1,4.0,6,0,0,1,0,5.5,0.31,-0.5,-0.13,38,85,44.7,127,13,50.4,38.5,37,56.8,46.2,63,3,4.8,6,1.50,15.5
Belgium,1,3.0,2,0,0,0,0,4.1,0.28,+2.1,+0.69,10,23,43.5,87,15,17.2,26.7,36,22.2,33.5,36,1,2.8,2,0.67,14.0
Brazil,3,4.0,2,0,0,0,0,2.8,0.31,+0.8,+0.20,8,19,42.1,79,19,17.7,25.9,20,25.0,30.0,36,0,0.0,8,2.00,20.5
Cameroon,2,3.0,4,0,0,0,0,4.9,0.33,+0.9,+0.31,29,67,43.3,108,17,42.6,34.9,34,61.8,46.8,57,3,5.3,0,0.00,8.9
Canada,1,3.0,7,0,0,0,0,5.4,0.37,-1.6,-0.52,11,29,37.9,82,22,31.7,30.1,15,20.0,28.3,29,0,0.0,2,0.67,15.1
Costa Rica,1,3.0,11,1,0,0,0,9.6,0.39,-1.4,-0.46,20,58,34.5,68,14,50.0,41.7,33,72.7,52.0,51,2,3.9,2,0.67,9.9
Croatia,1,4.3,2,0,0,1,0,2.9,0.26,+0.9,+0.20,15,34,44.1,99,29,24.2,27.0,24,41.7,36.4,60,6,10.0,1,0.23,9.8
Denmark,1,3.0,3,0,0,0,0,3.7,0.34,+0.7,+0.24,9,24,37.5,71,12,26.8,30.2,16,31.3,35.8,38,0,0.0,5,1.67,19.2
Ecuador,1,3.0,3,1,0,0,0,2.1,0.27,-0.9,-0.31,11,40,27.5,53,6,47.2,38.3,21,71.4,52.0,26,1,3.8,2,0.67,13.0
England,1,4.0,2,1,0,0,0,1.3,0.17,-0.7,-0.18,15,42,35.7,108,9,26.9,29.1,27,48.1,46.3,29,2,6.9,5,1.25,16.2
France,2,4.0,4,1,0,1,0,2.9,0.24,-1.1,-0.28,12,52,23.1,79,15,41.8,34.7,39,48.7,39.5,46,5,10.9,3,0.75,15.2
Germany,1,3.0,5,0,0,0,0,5.1,0.44,+0.1,+0.04,7,15,46.7,113,16,13.3,25.7,14,0.0,22.4,22,0,0.0,6,2.00,20.3
Ghana,1,3.0,7,1,0,0,0,6.5,0.34,-0.5,-0.18,13,36,36.1,47,8,53.2,41.6,31,35.5,35.0,58,2,3.4,1,0.33,11.4
Iran,2,3.0,7,0,0,1,0,5.5,0.37,-1.5,-0.50,13,46,28.3,56,17,50.0,38.1,20,90.0,59.5,46,4,8.7,0,0.00,6.5
Japan,1,4.3,4,1,0,0,0,5.3,0.24,+1.3,+0.31,12,54,22.2,86,12,44.2,35.8,26,61.5,45.7,61,4,6.6,0,0.00,8.4
Korea Republic,1,4.0,8,1,0,0,0,6.6,0.30,-1.4,-0.34,11,42,26.2,99,12,28.3,31.5,29,48.3,43.3,47,3,6.4,5,1.25,15.2
Mexico,1,3.0,3,0,0,1,0,3.0,0.33,0.0,-0.01,10,24,41.7,81,12,19.8,28.1,26,30.8,32.8,28,0,0.0,3,1.00,12.9
Morocco,2,4.3,1,0,0,0,1,1.0,0.20,+1.0,+0.23,20,62,32.3,91,14,38.5,35.7,36,75.0,55.2,65,3,4.6,2,0.46,11.5
Netherlands,1,4.0,2,0,0,0,0,4.3,0.26,+2.3,+0.59,12,38,31.6,107,22,25.2,28.8,31,35.5,32.8,54,5,9.3,5,1.25,14.3
Poland,1,4.0,5,0,0,0,0,7.8,0.22,+2.8,+0.70,40,95,42.1,109,13,62.4,43.3,33,81.8,56.3,66,1,1.5,0,0.00,7.9
Portugal,1,4.0,5,0,0,2,0,5.2,0.37,+0.2,+0.06,13,49,26.5,107,18,33.6,34.5,26,50.0,46.0,41,3,7.3,5,1.25,15.9
Qatar,2,3.0,7,1,0,1,0,4.3,0.35,-2.7,-0.89,8,22,36.4,58,13,32.8,30.0,24,12.5,22.1,33,1,3.0,3,1.00,13.0
Saudi Arabia,1,3.0,5,1,1,1,0,6.8,0.31,+1.8,+0.59,16,53,30.2,71,14,47.9,40.5,29,65.5,48.3,55,4,7.3,14,4.67,18.0
Senegal,1,4.0,7,0,0,1,0,5.4,0.41,-1.6,-0.41,15,44,34.1,94,15,39.4,35.5,26,26.9,30.1,64,3,4.7,2,0.50,11.8
Serbia,1,3.0,8,0,0,1,0,7.7,0.33,-0.3,-0.11,17,50,34.0,104,21,33.7,34.2,21,71.4,57.2,28,3,10.7,8,2.67,20.3
Spain,1,4.3,3,0,0,0,0,3.7,0.41,+0.7,+0.17,7,11,63.6,138,19,7.2,22.0,22,4.5,21.4,22,4,18.2,6,1.38,15.7
Switzerland,2,4.0,9,0,0,1,0,8.6,0.38,-0.4,-0.09,6,21,28.6,120,23,15.0,25.7,27,11.1,22.6,68,2,2.9,1,0.25,10.5
Tunisia,1,3.0,1,0,0,0,0,2.4,0.24,+1.4,+0.46,15,41,36.6,59,7,49.2,39.9,18,66.7,51.1,52,0,0.0,0,0.00,12.0
United States,1,4.0,4,1,0,0,0,3.4,0.20,-0.6,-0.15,13,38,34.2,108,24,24.1,29.4,20,60.0,48.1,42,7,16.7,5,1.25,13.8
Uruguay,1,3.0,2,1,0,0,0,3.0,0.16,+1.0,+0.34,6,27,22.2,54,6,37.0,33.4,24,29.2,29.9,33,2,6.1,2,0.67,11.0
Wales,2,3.0,6,0,1,0,0,4.9,0.35,-1.1,-0.35,23,53,43.4,80,20,45.0,35.1,25,68.0,49.0,48,3,6.3,2,0.67,9.4
