team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Argentina,21,28.7,65.0,4,44,360,4.0,7,5,6,1,2,2,0,1.75,1.25,3.00,1.50,2.75,7.6,6.2,4.3,10.5,1.90,1.07,2.97,1.55,2.62
Australia,20,28.7,37.8,4,44,360,4.0,3,3,3,0,0,7,0,0.75,0.75,1.50,0.75,1.50,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06
Belgium,20,30.6,57.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85
Brazil,26,28.4,57.8,4,44,360,4.0,7,5,6,1,1,3,0,1.75,1.25,3.00,1.50,2.75,9.4,8.7,6.5,15.2,2.36,1.63,3.99,2.17,3.79
Cameroon,22,28.0,41.7,3,33,270,3.0,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2.0,5.4,1.14,0.66,1.80,1.14,1.80
Canada,19,28.2,52.0,3,33,270,3.0,1,1,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13
Costa Rica,22,30.6,31.3,3,33,270,3.0,3,1,3,0,0,6,0,1.00,0.33,1.33,1.00,1.33,1.4,1.4,0.6,2.0,0.48,0.20,0.68,0.48,0.68
Croatia,18,29.4,55.0,4,44,390,4.3,5,5,5,0,0,4,0,1.15,1.15,2.31,1.15,2.31,5.2,5.2,4.0,9.3,1.20,0.93,2.14,1.20,2.14
Denmark,20,27.5,60.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.90,0.59,1.49,0.90,1.49
Ecuador,18,25.7,53.3,3,33,270,3.0,4,2,3,1,1,3,0,1.33,0.67,2.00,1.00,1.67,3.7,2.9,1.8,4.7,1.24,0.60,1.84,0.98,1.58
England,20,27.0,64.3,4,44,360,4.0,12,11,12,0,0,0,0,3.00,2.75,5.75,3.00,5.75,6.3,6.3,5.0,11.3,1.57,1.25,2.82,1.57,2.82
France,24,27.2,57.8,4,44,360,4.0,9,9,9,0,0,2,0,2.25,2.25,4.50,2.25,4.50,8.6,8.6,7.5,16.0,2.14,1.87,4.01,2.14,4.01
Germany,20,28.1,59.3,3,33,270,3.0,6,5,5,1,1,3,0,2.00,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.50,5.85,3.09,5.59
Ghana,20,26.4,42.0,3,33,270,3.0,5,2,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.70
Iran,21,29.3,36.7,3,33,270,3.0,4,2,3,1,1,7,0,1.33,0.67,2.00,1.00,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75
Japan,22,28.8,35.8,4,44,390,4.3,5,4,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,5.0,5.0,3.5,8.5,1.15,0.81,1.96,1.15,1.96
Korea Republic,21,29.0,48.3,4,44,360,4.0,5,3,5,0,0,6,0,1.25,0.75,2.00,1.25,2.00,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98
Mexico,21,29.0,54.0,3,33,270,3.0,2,1,2,0,0,7,0,0.67,0.33,1.00,0.67,1.00,3.3,3.3,2.7,6.0,1.09,0.90,1.99,1.09,1.99
Morocco,21,27.3,33.8,4,44,390,4.3,4,3,4,0,0,3,0,0.92,0.69,1.62,0.92,1.62,3.1,3.1,2.6,5.7,0.71,0.60,1.31,0.71,1.31
Netherlands,19,27.6,53.3,4,44,360,4.0,8,6,8,0,0,4,0,2.00,1.50,3.50,2.00,3.50,4.0,4.0,2.5,6.6,1.01,0.63,1.64,1.01,1.64
Poland,21,28.6,37.3,4,44,360,4.0,3,1,2,1,2,7,0,0.75,0.25,1.00,0.50,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18
Portugal,24,27.9,57.3,4,44,360,4.0,12,10,10,2,2,5,0,3.00,2.50,5.50,2.50,5.00,6.9,5.3,4.4,9.7,1.72,1.09,2.81,1.33,2.42
Qatar,20,29.0,43.0,3,33,270,3.0,1,1,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,1.4,1.4,1.2,2.6,0.47,0.39,0.87,0.47,0.87
Saudi Arabia,23,28.1,44.7,3,33,270,3.0,3,2,3,0,1,14,0,1.00,0.67,1.67,1.00,1.67,3.0,2.1,1.4,3.5,0.99,0.47,1.47,0.71,1.18
Senegal,20,27.7,44.8,4,44,360,4.0,5,2,4,1,1,7,0,1.25,0.50,1.75,1.00,1.50,4.6,3.8,2.5,6.2,1.14,0.61,1.75,0.94,1.55
Serbia,22,27.4,51.3,3,33,270,3.0,5,4,5,0,0,11,0,1.67,1.33,3.00,1.67,3.00,3.4,3.4,2.9,6.2,1.12,0.95,2.07,1.12,2.07
Spain,21,26.3,75.8,4,44,390,4.3,9,5,8,1,1,2,0,2.08,1.15,3.23,1.85,3.00,6.2,5.4,4.0,9.4,1.42,0.92,2.34,1.24,2.16
Switzerland,24,28.4,49.0,4,44,360,4.0,5,4,5,0,0,9,0,1.25,1.00,2.25,1.25,2.25,5.6,5.6,3.6,9.2,1.41,0.89,2.30,1.41,2.30
Tunisia,21,27.7,44.3,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.9,4.2,0.77,0.64,1.41,0.77,1.41
United States,20,25.3,53.0,4,44,360,4.0,3,3,3,0,0,5,0,0.75,0.75,1.50,0.75,1.50,4.1,4.1,3.5,7.6,1.01,0.87,1.89,1.01,1.89
Uruguay,19,28.5,48.7,3,33,270,3.0,2,1,2,0,0,8,0,0.67,0.33,1.00,0.67,1.00,3.7,3.7,2.8,6.4,1.23,0.92,2.15,1.23,2.15
Wales,18,27.7,46.7,3,33,270,3.0,1,0,0,1,1,5,1,0.33,0.00,0.33,0.00,0.00,2.7,1.9,1.8,3.7,0.91,0.59,1.49,0.65,1.23
